
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		1,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		1,		-1	// Sellvalue -1 means it can not be selled
		CowSteakMeat,			S,		5,		2	
		Sardines,				S,		7,		4
		Carp,					S,		10,		5
		Mackerel,				S,		10,		5
		
	<Category> Animal Parts
		Bone,					*,		2,		1
		Lard,					*,		2,		1
		Guts,					*,		2,		1
		SmallGuts,				*,		2,		1
		ChickenFeather,			*,		2,		1
		
	<Category> Drinks
		SodaCan_Cola, 			*,		2, 		1
		SodaCan_Kvass, 			*,		2, 		1
		SodaCan_Pipsi, 			*,		2, 		1
		SodaCan_Spite, 			*,		2, 		1
		SodaCan_Fronta, 		*,		2, 		1
		WaterBottle,			*,		5,		2
		Canteen,				*,		8,		4
		Vodka,					*,		12,		8
		
	<Category> Medical Supplies
		//Rag,					1,		1,		-1
		BandageDressing,		2,		3,		1
		BloodTestKit,			*,		5,		2
		//InjectionVial,		*,		5, 		2
		Thermometer,			*,		5,		2
		DisinfectantSpray,		*,		8,		5
		IodineTincture,			*,		8,		5
		//Syringe,				*,		8, 		5
		Heatpack,				*,		10,		5
		StartKitIV,				*,		10,		6
		SalineBag,				*,		15,		8
		BloodBagEmpty,			*,		18,		10
		FirstAidKit,			*,		20,		10
		//Defibrillator,		*,		35, 	20
		
	<Category> Medications
		CharcoalTablets,		*,		2,		1
		DisinfectantAlcohol,	*,		4,		2
		VitaminBottle,			*,		6,		4
		TetracyclineAntibiotics,*,		8,		5
		PainkillerTablets,		*,		10,		6
		Epinephrine,			*,		20,		10
		Morphine,				*,		25,		15
		AntiChemInjector,		*,		35, 	20
		
	<Category> Money Exchange
		MoneyRuble1,			1,		1,		-1
		MoneyRuble5,			1,		5,		-1
		MoneyRuble10,			1,		10,		-1
		MoneyRuble25,			1,		25,		-1
		MoneyRuble50,			1,		50,		-1
		MoneyRuble100,			1,		100,	-1


<Trader> Misc Trader
	<Category> Munghards Itempack	
	    clownmask_mung,			             *,		 100,	 50	
		strawhat_mung,                       *,      100,    50
		jesterhat_mung,                      *,      100,    50
		bandana_mung,                        *,      100,    50
		guitar_mung,                         *,      200,    100
		teddyhead_mung,			             *,		 200,	 100	
		ballgrill_mung,			             *,		 300,	 150	
		bowieknife_mung,			         *,		 200,	 100	
		zenitco_pt3_buttstock,			     *,		 200,	 100	
		rifleholster_black_mung,             *,      300,    150
		hardigg_Mung,                        *,      300,    150
		stielhandgranate_mung,               *,      800,    400
		rifleholster_camo_mung,              *,      400,    200
		rifleholster_camo_ucp_mung,			 *,		 400,	 200	
		6B38_camo_mung,			             *,		 1000,	 500	
		6B38_LETO_mung,			             *,		 1000,	 500		
		oxygentankrig_mung,			         *,		 500,	 250	
		shovel_Mung,                         *,      400,    200
		RollingPapers_Jest,                  *,      100,    50
		hannibal_mask_mung,                  *,      100,    50
		joint_mung,                          *,      100,    50
		cigarette_mung,			             *,		 100,	 50	
		cigar_mung,			                 *,		 100,	 50	
		vinegar_mung,			             *,		 100,	 50	
		ketchup_mung,			             *,		 100,	 50	
		Vesuri_mung,                         *,      100,    50
		brain_Mung,                          *,      100,    50
		sherlockpipe_mung,                   *,      100,    50
		Clawhammer_mung,                     *,      200,    100
		mag3_gasmask_mung,			         *,		 400,	 200	
		csmcmillan_mung,			         *,		 1000,	 500	
		Mag_cs5_10Rnd_mung,			         *,		 200,	 100	
		mcmillan_buttstock,			         *,		 100,	 50	
		pickles_closed,                      *,      100,    50
		Zippo_mung,                           *,      100,    50
		fannypack_pink_mung,                 *,      200,    100
		fannypack_black_mung,                *,      200,    100
		fannypack_camo_mung,			     *,		 300,	 100	
		fannypack_multi_mung,			     *,		 300,	 100	
		Hikingbagmung_white,			     *,		 500,	 250	
		Hikingbagmung_yellow,			     *,		 500,	 250	
		Hikingbagmung_red,                   *,      500,    250
		Hikingbagmung_blue,                  *,      500,    250
		Hikingbagmung_green,                 *,      500,    250
		Hikingbagmung_black,                 *,      600,    300
		Hikingbagmung_camo,			         *,		 600,	 300	
		katana_Mung,			             *,		 500,	 250	
		Lennon_glasses_pink_mung,			 *,		 200,	 100	
		Lennon_glasses_galaxy_mung,			 *,		 200,	 100	
		Lennon_glasses_black_mung,           *,      200,	 100
		Lennon_glasses_blue_mung,            *,      200,	 100
		Lennon_glasses_yellow_mung,          *,      200,	 100
		Lennon_glasses_white_mung,           *,      200,	 100
		m52helmet_mung,			             *,		 400,	 200	
		maglite_mung,			             *,		 600,	 300	
		Airam_mung,			                 *,		 400,	 200	
		oillamp_mung,			             *,		 200,	 100	
		SAK_Mung,                            *,      300,    150
		sandwich_mung,                       *,      100,    50
		Scythe_Mung,                         *,      200,    100
		simplebackpack_blue_mung,            *,      800,    400
		simplebackpack_camoblack_mung,		 *,		 800,    400	
		simplebackpack_green_mung,			 *,		 800,    400	
		simplebackpack_redpink_mung,	     *,		 800,    400	
		simplebackpack_redyellow_mung,		 *,		 800,    400	
		stalker_gasmask_white_mung,          *,      500,    250
		stalker_gasmask_black_mung,          *,      500,    250
		wonderbread_mung,                    *,      100,    50
		Nagant1895_mung,                     *,      1000,   500
		Gewehr43_mung,			             *,		 1200,	 600	
		Mag_gewehr43_10Rnd_mung,			 *,		 400,	 200	
		makeshifttent_mung,			         *,		 1000,	 500	
		gunwall_kit_mung,                    *,      1000,   400
		gunwall_metal_kit_mung,              *,      1000,   400	
	
	<Category> Mass's ManyItemOverhaul  
            Mass_PressVestBlack,			*,		1000,	5	
			Masswoodlandcamovest,			*,		1000,	5	
			MassSmershvestcomplete,			*,		1000,	5	
			MassSmershvestWintercomplete,	*,		1000,	5	
			MassUKAssVestWinter,			*,		1000,	5	
			Masswoodlandcamosweater,		*,		1000,	5	
			MassCamoHoodie,					*,		1000,	5	
			MassCUUquiltedJacket,			*,		1000,	5	
			Massurbancamom65,				*,		1000,	5	
			MassSM90Top,					*,		1000,	5	
			MassSM90WTop,					*,		1000,	5	
			MassBlackGorkatop,				*,		1000,	5	
			MassGorkaInvertWinterTop,		*,		1000,	5	
			MassGorkaInvertWoodlandTop,		*,		1000,	5	
			MassGorkaInvertFlecktarnTop,	*,		1000,	5	
			MassUSww2top,					*,		1000,	5	
			MassGokuShirt,					*,		1000,	5	
			MassTropicamTop,				*,		1000,	5	
			MassMandraketop,				*,		1000,	5	
			MassWinterHunterTop,			*,		1000,	5	
			MassWinterCUUJacket,			*,		1000,	5	
			MassWinterBDUJacket,			*,		1000,	5	
			MassTUhikingjacket,				*,		1000,	5	
			MassOrelTopgreen,				*,		1000,	5	
			MassNBCJacketYellow,			*,		1000,	5	
			MassBlackJacket,				*,		1000,	5	
			MassBeigeJacket,				*,		1000,	5	
			MassNBCpantsYellow,				*,		1000,	5	
			MassBlackGorkabottom,			*,		1000,	5	
			MassGorkaInvertWinterPants,		*,		1000,	5	
			MassGorkaInvertWoodlandPants,	*,		1000,	5	
			MassGorkaInvertFlecktarnPants,	*,		1000,	5	
			MassTropicamPants,				*,		1000,	5	
			Masswoodlandcargopants,			*,		1000,	5	
			Massurbancamocargopants,		*,		1000,	5	
			Massjeanshorts,					*,		1000,	5	
			MassMandrakebottom,				*,		1000,	5	
			MassWinterCUUPants,				*,		1000,	5	
			MassWinterBDUPants,				*,		1000,	5	
			MassWinterHunterPants,			*,		1000,	5	
			Massorelpantsgreen,				*,		1000,	5	
			MassSM90Pants,					*,		1000,	5	
			MassSM90WPants,					*,		1000,	5	
			MassNBCbootsYellow,				*,		1000,	5	
			MassNBCglovesBlue,				*,		1000,	5	
			MassBlackYellowMB,				*,		1000,	5	
			Massczech,						*,		1000,	5	
			MassczechWinter,				*,		1000,	5	
			MassWinterTortilla,				*,		1000,	5	
			MasscamoTaloon,					*,		1000,	5	
			MasscamoTaloon1,				*,		1000,	5	
			Massbrownhuntingbp,				*,		1000,	5	
			Massblackhuntingbp,				*,		1000,	5	
			MassWinterHuntingbp,			*,		1000,	5	
			MassSmersh,						*,		1000,	5	
			MassSmershwinter,				*,		1000,	5	
			Massurbancamohat,				*,		1000,	5	
			MasscamoBooniehat,				*,		1000,	5	
			MassBeigeUshanka,				*,		1000,	5	
			MassCoyoteBPUrban,				*,		1000,	5	
			MassCanvasBag,					*,		1000,	5	
			Massblackgp5,					*,		1000,	5	
			Massmichblack,					*,		1000,	5	
			MassHuntingCowboyhat,			*,		1000,	5	
			MassWinterHuntingHood,			*,		1000,	5	
			MassNBChoodYellow,				*,		1000,	5	
			MassToolbelt,					*,		1000,	5	
			MassGhillieSuitWoodland,		*,		1000,	5	
			MassGhillieSuitMossy,			*,		1000,	5	
			MassGhillieSuitSnow,			*,		1000,	5	
			MassGhillieTopWoodland,			*,		1000,	5	
			MassGhillieTopMossy,			*,		1000,	5	
			MassGhillieTopSnow,				*,		1000,	5	
			MassGhillieHood_Woodland,		*,		1000,	5	
			MassGhillieHood_Snowy,			*,		1000,	5	
			MassGhillieHoodMossy,			*,		1000,	5	
			MassGhillieSuitBoxWoodland,		*,		1000,	5	
			MassGhillieSuitBoxMossy,		*,		1000,	5	
			MassGhillieSuitBoxWinter,		*,		1000,	5	
			MassGhillieTopBoxWoodland,		*,		1000,	5	
			MassGhillieTopBoxWinter,		*,		1000,	5	
			MassGhillieTopBoxMossy,			*,		1000,	5	
			MassWinterGhillieWrap,			*,		1000,	5	
			MassPlateCarrierHolster_Black,		*,		1000,	5	
			MassPlateCarrierHolster_PartizanM,	*,		1000,	5	
			MassPlateCarrierHolster_Winter,		*,		1000,	5	
			MassPlateCarrierHolster_ODG,		*,		1000,	5	
			MassPlateCarrierPouches_Black,		*,		1000,	5	
			MassPlateCarrierPouches_PartizanM,	*,		1000,	5	
			MassPlateCarrierPouches_Winter,		*,		1000,	5	
			MassPlateCarrierPouches_ODG,		*,		1000,	5	
			MassPlateCarrier_PartizanM,		*,		1000,	5	
			MassPlateCarrier_Black,			*,		1000,	5	
			MassPlateCarrier_Winter,		*,		1000,	5	
			MassPlateCarrier_ODG,			*,		1000,	5	
			MassHeavyPlateVest_ODG,			*,		1000,	5	
			MassHeavyPlateVest_Winter,		*,		1000,	5	
			MassHeavyPlateVest_Black,		*,		1000,	5	
			MassHeavyPlateVest_PartizanM,	*,		1000,	5	
			MassHeavyPlateVest_Beige,		*,		1000,	5	
			MassSmershvestWW2complete,		*,		1000,	5	
			MassSmershvestblackcomplete,	*,		1000,	5	
			MassArmband_TU,					*,		1000,	5	
			MassArmband_NCR,				*,		1000,	5	
			MassArmband_snowBDU,			*,		1000,	5	
			MassArmband_PartizanM,			*,		1000,	5	
			MassArmband_Mandrake,			*,		1000,	5	
			MassArmband_Woodland,			*,		1000,	5	
			MassArmband_Urban,				*,		1000,	5	
			MassArmband_Orel,				*,		1000,	5	
			MassArmband_BWS,				*,		1000,	5	
			MassArmband_BT,					*,		1000,	5	
			MassMolleBagBlack,				*,		1000,	5	
			MassMolleBagDesert,				*,		1000,	5	
			MassMolleBagGorka,				*,		1000,	5	
			Massbag,						*,		1000,	5	
			Massbag2,						*,		1000,	5	
			Massbag3,						*,		1000,	5	
			Massbag4,						*,		1000,	5	
			Massmedbag,						*,		1000,	5	
			Massmedbag_blue,				*,		1000,	5	
			Massmedbag_green,				*,		1000,	5	
			MassSmershblack,				*,		1000,	5	
			MassImprovisedBag_Black,		*,		1000,	5	
			MassImprovisedBag_Blue,			*,		1000,	5	
			MassImprovisedBag_Green,		*,		1000,	5	
			MassImprovisedBag_Orange,		*,		1000,	5	
			MassImprovisedBag_Pink,			*,		1000,	5	
			MassImprovisedBag_Red,			*,		1000,	5	
			MassImprovisedBag_Yellow,		*,		1000,	5	
			MassImprovisedBag_Woodland,		*,		1000,	5	
			MassImprovisedBag_Partizan,		*,		1000,	5	
			MassImprovisedBag_Urban,		*,		1000,	5	
			MassRainCoatcourier_Black,		*,		1000,	5	
			MassRainCoatcourier_Blue,		*,		1000,	5	
			MassRainCoatcourier_Green,		*,		1000,	5	
			MassRainCoatcourier_Orange,		*,		1000,	5	
			MassRainCoatcourier_Pink,		*,		1000,	5	
			MassRainCoatcourier_Red,		*,		1000,	5	
			MassRainCoatcourier_Yellow,		*,		1000,	5	
			MassRainCoatcourier_Woodland,	*,		1000,	5	
			MassRainCoatcourier_Partizan,	*,		1000,	5	
			MassRainCoatcourier_Urban,		*,		1000,	5	
			MassMedical_Bag,				*,		1000,	5	
			MassMedical_Bag_Blue,			*,		1000,	5	
			MassMedical_Bag_Green,			*,		1000,	5	
			Massproxychar,					*,		1000,	5	
			MassNBC_Bag,					*,		1000,	5	
			MassAR500,						*,		1000,	5	
			MassAR500pair,					*,		1000,	5	
           	AmmoBox_408Chey,				*,		1000,	5	
			AmmoBox_12gaBB,					*,		1000,	5	
			AmmoBox_338,					*,		1000,	5	
			MassScoutSuppressor,			*,		1000,	5	
			shotgun_Suppressor,				*,		1000,	5	
			MassSuppressor308,				*,		1000,	5	
            MassSVT40,						*,		1000,	5	
			MassSVT40_Black,				*,		1000,	5	
			MassSVT40_Green,				*,		1000,	5	
			MassSVT40_Camo,					*,		1000,	5	
			MassPPSH41,						*,		1000,	5	
			MassPPSH41_Black,				*,		1000,	5	
			MassPPSH41_Green,				*,		1000,	5	
			MassPPSH41_Camo,				*,		1000,	5	
			MassScout556,					*,		1000,	5	
			Massm300,						*,		1000,	5	
			Massm300_camo,					*,		1000,	5	
			MassKivaari,					*,		1000,	5	
			MassB52,						*,		1000,	5	
			MassPpskn,						*,		1000,	5	
			MassM110,						*,		1000,	5	
			Massarmsan,						*,		1000,	5	
            Ammo_408Chey,					*,		1000,	5	
			Ammo_338,						*,		1000,	5	
			Ammo_12GaBB,					*,		1000,	5	
			Scout556mag,					*,		1000,	5	
			kivaarimag,						*,		1000,	5	
			Mass308STANAG,					*,		1000,	5	
			Mass762Stanag,					*,		1000,	5	
			Massppshdrum,					*,		1000,	5	
			Massppshbox,					*,		1000,	5	
			MassSVTmag,						*,		1000,	5	
			Massm300mag						*,		1000,	5
			MassAR15,						*,		1000,	5
			Mass9x39Palm,					*,		1000,	5
			Massmini14,						*,		1000,	5
			MassRuckBagDesert,				*,		1000,	5
			MassRuckBagBlack,				*,		1000,	5
			MassRuckBagGorka,				*,		1000,	5
			MassRuckBagGreen,				*,		1000,	5
	
	<Category> Tools (small)
		Screwdriver,			*,		3,		1
		Wrench,					*,		3,		1
		SewingKit,				*,		4, 		1
		Pliers,					*,		4, 		1
		LeatherSewingKit,		*,		5, 		2
		Whetstone,				*,		5,		2
		Hammer,					*,		7,		3
		Hacksaw,				*,		7,		3
		HandSaw,				*,		7,		3
		WeaponCleaningKit,		*,		8, 		3
		KitchenKnife,			*,		8,		4
		SteakKnife,				*,		9,		4
		HuntingKnife,			*,		9,		4
		FangeKnife,				*,		9,		4
		CanOpener,				*,		10,		4
		Compass,				*,		10,		4
		OrienteeringCompass,	*,		10,		4
		Hatchet,				*,		10,		4
		CombatKnife,			*,		10,		5
		KukriKnife,				*,		10,		5
		Machete,				*,		12,		6
		Cleaver,				*,		12,		6
		CrudeMachete,			*,		12,		6
		OrientalMachete,		*,		12,		6
		Sickle,					*,		12,		6
		ChernarusMap,			*,		15,		5
		Lockpick,				*,		20,		10
		Binoculars,				*,		30,		15		
		FishingRod,				*,		60,		25
		GPSReceiver,			*,		200,	100
		PunchedCard,			*,		900,	-1
		
	<Category> Tools (big)
		LugWrench,				*,		4,		1
		Crowbar,				*,		5,		3
		Shovel,					*,		6,		3
		FieldShovel,			*,		6,		3
		FarmingHoe,				*,		6,		3
		Pitchfork,				*,		6,		3
		Broom,					*,		6,		3
		Broom_Birch,			*,		6,		3
		Pickaxe,				*,		10,		4
		SledgeHammer,			*,		12,		6
		PipeWrench,				W,		15,		7
		WoodAxe,				*,		20,		8
		FirefighterAxe,			*,		30,		12
		
	<Category> Electronics
		Battery9V,				*,		8,		3
		PersonalRadio,			*,		10,		5
		Megaphone,				*,		30,		15
		ElectronicRepairKit,	*,		35,		17
		CableReel,				*,		40,		20
		BatteryCharger,			*,		40,		20
		BaseRadio,				*,		50,		30
		Rangefinder,			*,		60,		35
		NVGoggles,				*,		400,	220
	
	<Category> Fire & Lights
		Chemlight_Blue,			*,		2,		1
		Chemlight_Green,		*,		2,		1
		Chemlight_Red,			*,		2,		1
		Chemlight_White,		*,		2,		1
		Chemlight_Yellow,		*,		2,		1
		Roadflare,				*,		4,		2
		Matchbox,				*,		6,		3
		PetrolLighter,			*,		6,		3
		Flashlight,				*,		15,		5
		PortableGasLamp,		*,		25,		10
		PortableGasStove,		*,		30,		15
		Blowtorch,				*,		40,		20
		Headtorch_Black,		*,		40,		20
		Headtorch_Grey,			*,		40,		20
		Spotlight,				*,		600,	200
	
	<Category> Cooking & Hunting Supplies
		PurificationTablets,	*,		5,		2
		KitchenTimer,			*,		25,		10
		Pot,					M,		25,		10
		Cauldron,				M,		25,		10
		FryingPan,				M,		25,		10
		MeatTenderizer,			*,		25,		10
		Tripod,					*,		35,		15
		BearTrap,				*,		50,		30
	
	<Category> Hardware Supplies
		Paper,					*,		1,		0
		Pen_Blue,				*,		2,		1
		Rope,					*,		4,		1
		TannedLeather,			*,		4,		1
		AntiPestsSpray,			*,		8,		4
		MetalWire,				*,		15,		6
		EpoxyPutty,				*,		15,		6
		DuctTape,				*,		20,		8
		XmasLights,				*,		25,		10
		AlarmClock_Blue,		*,		25,		10
		AlarmClock_Green,		*,		25,		10
		AlarmClock_Red,			*,		25,		10
		HandcuffKeys,			*,		35,		12
		Handcuffs,				*,		50,		15
		Netting,				1,		50,		10
		BurlapSack,				*,		50,		10
		Fabric,					*,		50,		10
		WoodenPlank,			10,		50,		15
		MetalPlate,				*,		60,		18
		SmallProtectorCase,		*,		70,		30
		AmmoBox,				*,		80,		35
		SmallGasCanister,		*,		80,		35
		MediumGasCanister,		*,		100,	40
		LargeGasCanister,		*,		200,	70
		CanisterGasoline,		*,		300,	80
		NailBox,				*,		300,	120
		BarbedWire,				*,		450,	200
		Camonet,				*,		600,	250
		HescoBox,				*,		650,	250
		CombinationLock,		*,		700,	300
		CombinationLock4,		*,		900,	400
		BarrelHoles_Blue,		*,		800,	300
		BarrelHoles_Green,		*,		800,	300
		BarrelHoles_Red,		*,		800,	300
		BarrelHoles_Yellow,		*,		800,	300
		Barrel_Blue,			M,		1500,	350
		Barrel_Green,			M,		1500,	350
		Barrel_Red,				M,		1500,	350
		Barrel_Yellow,			M,		1500,	350
		SeaChest,				*,		2000,	400
		AnniversaryBox,			*,		4000,	400
		PowerGenerator,			*,		3000,	1000
		MediumTent,				*,		3000,	500		
		CarTent,				*,		5000,	700
		LargeTent,				*,		7000,	1200
		MediumTent_Green,		*,		3000,	500
		MediumTent_Orange,		*,		3000,	500
		PartyTent,				*,		3000,	500
		PartyTent_Blue,			*,		3000,	500
		PartyTent_Brown,		*,		3000,	500
		PartyTent_Lunapark,		*,		3000,	500
	
	<Category> Flags
		Flag_APA,				*,		300,	120
		Flag_Altis,				*,		300,	120
		Flag_BabyDeer,			*,		300,	120
		Flag_Bear,				*,		300,	120
		Flag_Bohemia,			*,		300,	120
		Flag_BrainZ,			*,		300,	120
		Flag_CDF,				*,		300,	120
		Flag_CHEL,				*,		300,	120
		Flag_CMC,				*,		300,	120
		Flag_Cannibals,			*,		300,	120
		Flag_Chedaki,			*,		300,	120
		Flag_Chernarus,			*,		300,	120
		Flag_DayZ,				*,		300,	120
		Flag_HunterZ,			*,		300,	120
		Flag_Livonia,			*,		300,	120
		Flag_LivoniaArmy,		*,		300,	120
		Flag_LivoniaPolice,		*,		300,	120
		Flag_NAPA,				*,		300,	120
		Flag_NSahrani,			*,		300,	120
		Flag_Pirates,			*,		300,	120
		Flag_Rooster,			*,		300,	120
		Flag_SSahrani,			*,		300,	120
		Flag_TEC,				*,		300,	120
		Flag_UEC,				*,		300,	120
		Flag_White,				*,		300,	120
		Flag_Wolf,				*,		300,	120
		Flag_Zenit,				*,		300,	120
		Flag_RSTA,				*,		300,	120
		Flag_Refuge,			*,		300,	120
		Flag_Snake,				*,		300,	120
		Flag_Crook,				*,		300,	120
		Flag_Rex,				*,		300,	120
		Flag_Zagorky,			*,		300,	120
	
	<Category> Seeds & Lime
		TomatoSeedsPack,		*,		4, 		1
		PepperSeedsPack,		*,		4, 		1
		ZucchiniSeedsPack,		*,		6, 		2
		PumpkinSeedsPack,		*,		10, 	3
		GardenLime,				*,		20,		7
		
	<Category> Fluffy Pets <3
		Bear_Beige,				*,		5,		1
		Bear_Dark,				*,		5,		1
		Bear_Pink,				*,		5,		1
		Bear_White,				*,		5,		1
		
	<Category> BBPItemPack
		BBP_Wall_Kit, *, 200, 10
		BBP_Door_Kit, *, 200, 10
		BBP_Floor_Kit, *, 200, 10
		BBP_Roof_Hatch_Kit, *, 200, 10
		BBP_Floor_Hatch_Kit, *, 200, 10
		BBP_Foundation_Kit, *, 200, 10
		BBP_Gate_Kit, *, 200, 10
		BBP_Half_Wall_Kit, *, 200, 10
		BBP_Pillar_Kit, *, 200, 10
		BBP_Ramp_Kit, *, 200, 10
		BBP_Roof_Kit, *, 200, 10
		BBP_Hanger_Roof_Kit, *, 200, 10
		BBP_Slope_Roof_Kit, *, 200, 10
		BBP_Slope_Wall_Kit, *, 200, 10
		BBP_Stair_Kit, *, 200, 10
		BBP_Triangle_Floor_Kit, *, 200, 10
		BBP_Triangle_Roof_Kit, *, 200, 10
		BBP_Window_Kit, *, 200, 10
		// BBP_BuildPermit, *, 200, 100
		BBP_Blueprint, *, 200, 100
		BBP_Workbench_Kit, *, 300, 150
		BBP_Step_Ladder_Kit, *, 200, 100
		BBP_TapeMeasure, *, 200, 100
		BBP_Concrete_Brick_Pile, *, 800, 400
		BBP_Cement, *, 2000, 1000
		BBP_Mortar_Mix, *, 200, 100
		BBP_Cement_Mixer_Kit, *, 10000, 5000

		
<Trader> Weapon Trader

	<Category> Rev_Guns
		Rev_WA2000,	      		 	 	 W,		1500,		400
		Rev_ARX160,	 					 W,		1500,		400
		Rev_Tac21,						 W,		1500,		400
		Rev_HoneyBadger300BO_Black,		 W,		1500,		500
		Rev_M200,		 				 W,		1500,		100
		Rev_M200_Black,	 				 W,		900,		100
		Rev_R700,	     				 W,		1500,		400
		Rev_AK15,	     			     W,		1500,		400
		Rev_AKU15,						 W,		1500,		400
		Rev_AK12,	 					 W,		1500,		500
		Rev_AKU12,		 				 W,		1500,		100
		Rev_AK19,	    				 W,		900,		100
		Rev_AKU19,	    				 W,		1500,		400
		Rev_RPK16_762,	    			 W,		1500,		400
		Rev_RPK16,		  				 W,		1500,		400
		Rev_RPK16_556,					 W,		1500,		500
		Rev_AR15,						 W,		1500,		100
		Rev_ACR_Tan,					 W,		900,		100
		Rev_M110_Black, 				 W,		1500,		500
		Rev_M134,						 W,		30000,		100
		Rev_Beowulf, 					 W,		900,		100
		Rev_SRSA2,						 W,		1500,		400
		Rev_Spas12,						 W,		1500,		400
		Rev_SR25_Tan,					 W,		1500,		400
		Rev_ACR17,						 W,		1500,		500
		Rev_MG3,						 W,		5000,		100
		Rev_FALTactical,				 W,		900,		100
		Rev_M1Garand,	    			 W,		1500,		400
		Rev_HT76,	    				 W,		1500,		400
		Rev_HK417,						 W,		1500,		400
		JebsGuns_GoldenFang,			 W,		1500,		400
